"alg-geom/9710029","Tomas L. Gomez","Tomas L. Gomez","Irreducibility of the moduli space of vector bundles on surfaces and
  Brill-Noether theory on singular curves","Revised PhD thesis (Princeton, 1997), 64 pages, 1 figure, LaTeX2e,
  Xy-pic",,,,"alg-geom math.AG",,"  We prove the irreducibility of the moduli space of rank 2 semistable torsion
free sheaves (with a generic polarization and any value of c_2) on a K3 or a
del Pezzo surface. In the case of a K3 surface, we need to prove a result on
the connectivity of the Brill-Noether locus for singular curves on the surface.
"astro-ph/9710301","Ruth Carballo","C.R. Benn (1), M. Vigotti (2), R. Carballo (3 and 4), J.I.
  Gonzalez-Serrano (3) and S.F. Sanchez (3 and 4) ((1) Issac Newton Group La
  Palma, (2) Istituto di Radioastronomia di Bologna, (3) Instituto de Fisica de
  Cantabria (CSIC-UC), (4) Dpto. de Fisica Moderna (UC))","Red quasars not so dusty","16 pages TeX file + 2 PostScript figures. Accepted in MNRAS",,"10.1046/j.1365-8711.1998.t01-2-01327.x",,"astro-ph",,"  Webster et al (1995) claimed that up to 80% of QSOs may be obscured by dust.
They inferred the presence of this dust from the remarkably broad range of B-K
optical-infrared colours of a sample of flat-spectrum PKS radio QSOs. If such
dust is typical of QSOs, it will have rendered invisible most of those which
would otherwise been have detected by optical surveys. We used the William
Herschel Telescope on La Palma to obtain K infrared images of 54 B3 radio
quasars selected at low frequency (mainly steep-spectrum), and we find that
although several have very red optical-infrared colours, most of these can be
attributed to an excess of light in K rather than a dust-induced deficit in B.
We present evidence that some of the infrared excess comes from the light of
stars in the host galaxy (some, as previously suggested, comes from synchrotron
radiation associated with flat-spectrum radio sources). The B-K colours of the
B3 QSOs provide no evidence for a large reddened population. Either the Webster
et al QSOs are atypical in having such large extinctions, or their reddening is
not due to dust; either way, the broad range of their B-K colours does not
provide evidence that a large fraction of QSOs has been missed from optical
surveys.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 15:55:54 GMT""}]","2009-10-30"
"astro-ph/9710302","Jens Schmalzing","Jens Schmalzing","Minkowski Functionals in Cosmology: An Overview","2 pages, 2 figures. Uses epsf.sty and sprocl.sty. Poster
  contribution, Proceedings of the 12th Potsdam Comology Workshop, Potsdam,
  Germany, Sep 15-20 1997","Large Scale Structure: Tracks and Traces. Proceedings of the 12th
  Potsdam Cosmology Workshop (1997). Eds. V.Mueller, S.Gottloeber, J.P.Muecket,
  J.Wambsganss. World Scientific 1998, pp.195-196",,,"astro-ph",,"  Minkowski functionals have recently been introduced into cosmology as novel
tools for studying the large-scale distribution of matter in the Universe. We
present a brief overview of the method, including its mathematical foundations
as well as some completed and upcoming applications.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 14:20:13 GMT""}]","2007-05-23"
"chao-dyn/9710020","Ramses van Zon","R. van Zon, H. van Beijeren, Ch. Dellago","Largest Lyapunov Exponent for Many Particle Systems at Low Densities","4 pages, RevTeX, 2 Figures (encapsulated postscript). Submitted to
  Phys. Rev. Lett",,"10.1103/PhysRevLett.80.2035","THU-97/30","chao-dyn nlin.CD",,"  The largest Lyapunov exponent $\lambda^+$ for a dilute gas with short range
interactions in equilibrium is studied by a mapping to a clock model, in which
every particle carries a watch, with a discrete time that is advanced at
collisions. This model has a propagating front solution with a speed that
determines $\lambda^+$, for which we find a density dependence as predicted by
Krylov, but with a larger prefactor. Simulations for the clock model and for
hard sphere and hard disk systems confirm these results and are in excellent
mutual agreement. They show a slow convergence of $\lambda^+$ with increasing
particle number, in good agreement with a prediction by Brunet and Derrida.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:43:49 GMT""}]","2009-10-30"
"chao-dyn/9710021","Jayme Vicente De Luca","Jayme De Luca","Electrodynamics of a two-electron atom with retardation and
  self-interaction effects",,,"10.1103/PhysRevE.58.5727",,"chao-dyn nlin.CD",,"  We study the linear stability of a circular orbit in a two-electron atom,
with the inclusion of retardation and self-interaction effects. We calculate
all the eigenvalues of the linear stability of the circular orbit, expanded up
to third order in (v/c). We discuss how the linear stability results can be
used to construct a resonant normal form constant of motion, which is important
for the short time stability of the orbits (e.g. emission of sharp spectral
lines). We calculate the magnitudes related to some of those orbits and compare
to the quantum atomic results.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 15:53:30 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 1997 19:21:12 GMT""},{""version"":""v3"",""created"":""Wed, 8 Apr 1998 21:01:51 GMT""}]","2009-10-30"
"cond-mat/9710278","Asok K. Sen Asso Prof","Asok K. Sen","Phase Distribution in a Disordered Chain and the Emergence of a
  Two-parameter Scaling in the Quasi-ballistic to the Mildly Localized Regime","12 LaTeX pages plus 3 EPS figures","Mod. Phys. Lett. B, vol.11, pages 555-564, 1997","10.1142/S0217984997000682",,"cond-mat.dis-nn cond-mat.mes-hall",,"  We study the phase distribution of the complex reflection coefficient in
different configurations as a disordered 1D system evolves in length, and its
effect on the distribution of the 4-probe resistance $R_4$. The stationary ($L
\to \infty$) phase distribution is almost always strongly non-uniform and is in
general double-peaked with their separation decaying algebraically with growing
disorder strength to finally give rise to a single narrow peak at infinitely
strong disorder. Further in the length regime where the phase distribution
still evolves with length (i.e., in the quasi-ballistic to the mildly localized
regime), the phase distribution affects the distribution of the resistance in
such a way as to make the mean and the variance of $log(1+R_4)$ diverge
independently with length with different exponents. As $L \to \infty$, these
two exponents become identical (unity). Obviously, these facts imply two
relevant parameters for scaling in the quasi-ballistic to the mildly localized
regime finally crossing over to one-parameter scaling in the strongly localized
regime.
","[{""version"":""v1"",""created"":""Sun, 26 Oct 1997 16:47:51 GMT""}]","2015-06-25"
"cond-mat/9710279",,"A. Fierro, A. de Candia, A. Coniglio","Non exponential relaxation in fully frustrated models","7 pages, RevTeX, 11 figs, to appear on Physical Review E","Phys. Rev. E 56, 4990 (1997)","10.1103/PhysRevE.56.4990",,"cond-mat.stat-mech",,"  We study the dynamical properties of the fully frustrated Ising model. Due to
the absence of disorder the model, contrary to spin glass, does not exhibit any
Griffiths phase, which has been associated to non-exponential relaxation
dynamics. Nevertheless we find numerically that the model exhibits a stretched
exponential behavior below a temperature T_p corresponding to the percolation
transition of the Kasteleyn-Fortuin clusters. We have also found that the
critical behavior of this clusters for a fully frustrated q-state spin model at
the percolation threshold is strongly affected by frustration. In fact while in
absence of frustration the q=1 limit gives random percolation, in presence of
frustration the critical behavior is in the same universality class of the
ferromagnetic q=1/2-state Potts model.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:28:21 GMT""}]","2009-10-30"
"cond-mat/9710280","Stijn van Langen","S. A. van Langen, P. G. Silvestrov, and C. W. J. Beenakker","Thermopower of Single-Channel Disordered and Chaotic Conductors","To be published in Superlattices and Microstructures, special issue
  on the occasion of Rolf Landauer's 70th birthday","Superlattices and Microstructures 23, 691 (1998)","10.1006/spmi.1997.0532",,"cond-mat.dis-nn",,"  We show (analytically and by numerical simulation) that the zero-temperature
limit of the distribution of the thermopower S of a one-dimensional disordered
wire in the localized regime is a Lorentzian, with a disorder-independent width
of 4 pi^3 k_B^2 T/3e\Delta (where T is the temperature and \Delta the mean
level spacing). Upon raising the temperature the distribution crosses over to
an exponential form exp(-2|S|eT/\Delta). We also consider the case of a chaotic
quantum dot with two single-channel ballistic point contacts. The distribution
of S then has a cusp at S=0 and a tail |S|^{-1-\beta} log|S| for large S (with
\beta=1,2 depending on the presence or absence of time-reversal symmetry).
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 11:36:11 GMT""}]","2007-05-23"
"cond-mat/9710281",,"S. Scarpetta, A. de Candia, A. Coniglio","Glassy behavior of the site frustrated percolation model","8 pages, RevTeX, 11 figs","Physical Review E, 55, 4943 (1997)","10.1103/PhysRevE.55.4943",,"cond-mat.stat-mech",,"  The dynamical properties of the site frustrated percolation model are
investigated and compared with those of glass forming liquids. When the density
of the particles on the lattice becomes high enough, the dynamics of the model
becomes very slow, due to geometrical constraints, and rearrangement on large
scales is needed to allow relaxation. The autocorrelation functions, the
specific volume for different cooling rates, and the mean square displacement
are evaluated, and are found to exhibit glassy behavior.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:21:33 GMT""}]","2009-10-30"
"cond-mat/9710282","Alexander Kuzmany","Alexander Kuzmany and Herbert Spohn","Magneto-Transport in the Two-Dimensional Lorentz Gas","7 pages, 14 figures. Uses RevTeX and epsfig.sty. Submitted to
  Physical Review E",,"10.1103/PhysRevE.57.5544",,"cond-mat",,"  We consider the two-dimensional Lorentz gas with Poisson distributed hard
disk scatterers and a constant magnetic field perpendicular to the plane of
motion. The velocity autocorrelation is computed numerically over the full
range of densities and magnetic fields with particular attention to the
percolation threshold between hopping transport and pure edge currents. The
Ohmic and Hall conductance are compared with mode-coupling theory and a recent
generalized kinetic equation valid for low densities and small fields. We argue
that the long time tail as $t^{-2}$ persists for non-zero magnetic field.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 12:55:56 GMT""}]","2009-10-30"
"cond-mat/9710283","S. G. den Hartog","S.G. den Hartog, S.J. van der Molen, B.J. van Wees, T.M. Klapwijk, and
  G. Borghs","Suppression of the Coulomb interaction contribution to the conductance
  by a parallel magnetic field","4 pages, 4 figures",,,,"cond-mat.mes-hall cond-mat.str-el",,"  The Coulomb interaction contribution to the conductance is investigated in a
phase-coherent disordered 2-dimensional electron gas, which resistance can be
varied by an overall gate electrode. Its magnitude of dGeei=-0.3 e^2/h is
obtained by applying a bias voltage to suppress the Coulomb anomaly. In
contrast to theoretical predictions, dGeei is suppressed by a parallel magnetic
field. The zero-bias magnetoresistance exhibits reproducible fluctuations in
perpendicular magnetic fields on a field scale much larger than that expected
for universal conductance fluctuations, which might be attributed to
fluctuations in the Coulomb interaction contribution.
","[{""version"":""v1"",""created"":""Mon, 27 Oct 1997 15:21:29 GMT""}]","2007-05-23"
