"astro-ph/9710050","Blanchard Alain","Alain Blanchard, Simon Prunet","The IGM at high redshift and galaxy formation","Latex/conf_iap.sty, 6 pages, 3 ps figures. To appear in Proc. of the
  13th IAP Colloquium: Structure and Evolution of the IGM from QSO Absorption
  Line Systems, eds. P. Petitjean & S. Charlot, Nouvelles Fronti\`eres, Paris",,,,"astro-ph",,"  The conditions for structure formation which ultimately lead to galaxies
request further ingredients behind the simple collapse criteria. The Jean's
criteria and the cooling criteria are those which are currently used. However
in such a simple scheme, a fundamental problem occurs in hierarchical pictures,
namely the OVERCOOLING: the predicted fraction of primordial gas expected to
have cooled in the history of structure formation is for too large. The
solution to this problem is likely to be a substantial re-heating phase. Here,
we discussed one possible solution: the warm IGM picture. If the feedback of
galaxy formation is able to heat the IGM up to temperatures of the order of
$10^5-10^6$ K, galaxy formation is inhibited on small mass scale. This leads to
an inverse hierarchical picture: most of the large galaxies form at redshifts
in the range 3 to 5, while small galaxies form at two different epoch: at an
early phase at redshift greater than five and at a late phase, between redshift
3 and 0. Such a scheme may reproduce quite well the amount of HI gas versus
redshift.
","[{""version"":""v1"",""created"":""Sat, 4 Oct 1997 17:35:46 GMT""}]","2007-05-23"
"astro-ph/9710051","Alessandro Marconi","A. Marconi (1, 3) L. Testi (1, 4) A. Natta (2) and C.M. Walmsley (2)
  ((1) Dipartimento Astronomia e Scienza dello Spazio, Universita' di Firenze,
  Italy, (2) Osservatorio Astrofisico di Arcetri, Firenze, Italy, (3) Space
  Telescope Science Institute, Baltimore, MD, USA, (4) Division of Physics
  Mathematics and Astronomy, Caltech, Pasadena, CA, USA)","Near Infrared Spectra of the Orion Bar","17 pages with 17 figures included. Accepted for publication by
  Astronomy and Astrophysics",,,,"astro-ph",,"  We have used the LONGSP spectrometer on the 1.5-m TIRGO telescope to obtain
long slit spectra in the J, H, and K wavelength bands towards two positions
along the Orion bar. These data have been supplemented with images made using
the ARNICA camera mounted on TIRGO as well as with an ESO NTT observation
carried out by Dr A. Moorwood. We detect a variety of transitions of hydrogen,
helium, OI, FeII, FeIII, and H_2 . From our molecular hydrogen data, we
conclude that densities are moderate (3-6 10^4 cm^-3) in the layer responsible
for the molecular hydrogen emission and give no evidence for the presence of
dense neutral clumps. We also find that the molecular hydrogen bar is likely to
be tilted by ~10 degrees relative to the line of sight. We discuss the relative
merits of several models of the structure of the bar and conclude that it may
be split into two structures separated by 0.2-0.3 parsec along the line of
sight. It also seems likely to us that in both structures, density increases
along a line perpendicular to the ionization front which penetrates into the
neutral gas.
  We have used the 1.317um OI line to estimate the FUV radiation field incident
at the ionization front and find values of 1-3x10^4 greater than the average
interstellar field. From [FeII] line measurements, we conclude that the
electron density in the ionized layer associated with the ionization front is
of order 10^4 cm^-3. Finally, our analysis of the helium and hydrogen
recombination lines implies essential coincidence of the helium and hydrogen
Stromgren spheres.
","[{""version"":""v1"",""created"":""Sat, 4 Oct 1997 20:59:01 GMT""}]","2007-05-23"
"astro-ph/9710052","licai Deng","D. R. Xiong(1), Q. L. Cheng(1) and L. Deng(2) ((1)Purple Mountain
  Observatory, (2)Beijing Astronomical Observatory, Chinese Academy of
  Sciences)","Turbulent Convection and Pulsational Stability of Variable Stars II.
  Oscillations of RR Lyrae and Horizontal Branch Red Variable Stars","30 pages, Latex uses aaspp4.sty, 7 figures and 3 tables included.
  Submitted to Apj",,"10.1086/305695",,"astro-ph",,"  Using a nonlocal time-dependent theory of convection, we have calculated the
linear non-adiabatic oscillations of the Horizontal Branch (HB) stars, with
both the dynamic and thermodynamic coupling between convection and oscillations
carefully treated. Turbulent pressure and turbulent viscosity have been
included consistently in our equations of non-adiabatic pulsation. When the
coupling between convection and oscillations is ignored, for all models with
Teff <= 7350, the fundamental through the second overtone are pulsationally
unstable; while for Teff <= 6200 all the models are unstable up to (at least)
the 9th overtone. When the coupling between convection and oscillations is
included, the RR Lyrae instability strip is very well predicted. Within the
strip the most models are pulsationally unstable only for the fundamental and
the first few overtones. The turbulent viscosity is an important damping
mechanism. Being exclusively distinct from the luminous red variables (long
period variables), the HB stars to the right of the RR strip are pulsationally
stable for the fundamental and low-order overtones, but become unstable for
some oen of the high-order overtones. This may provide a valuable clue for the
short period, low amplitude red variables found outside the red edge of the RR
strip on the H-R diagram of globular clusters. Moreover, we present a new
radiation modulated excitation mechanism functioning in a zone of radiation
flux gradient. The effects of nonlocal convection and the dynamic coupling
between convection and oscillations are discussed. The spatial oscillations of
the thermal variables in the pulsational calculations have been effectively
suppressed.
","[{""version"":""v1"",""created"":""Sun, 5 Oct 1997 08:01:03 GMT""}]","2009-10-30"
"astro-ph/9710053","licai Deng","D. R. Xiong(1), L. Deng(2), and Q. L. Cheng(1) ((1)Purple Mountain
  Observatory, (2)Beijing Astronomical Observatory, Chinese Academy of
  Sciences)","Turbulent Convection and pulsational Stability of Variable Stars I.
  Oscillations of Long-Period Variables","23 pages, Latex file uses aaspp4.sty, 5 figures and 3 tables
  included. Submitted to Apj",,"10.1086/305601",,"astro-ph",,"  We have performed a linear pulsational stability survey of 6 series of long
period variable models with M=1.0 Msun, L=3000 - 8000Lsun, and (X,Z)=
(0.700,0.020),(0.735,0.005). The dynamic and thermodynamic couplings between
convection and oscillations are treated by using a statistical theory of
nonlocal and time-dependent convection. The results show that the fundamental
and all the low overtones are always pulsationally unstable for the low
temperature models when the coupling between convection and oscillations is
ignored. When the coupling is considered, there is indeed a ""Mira""
pulsationally instability region outside of the Cepheid instability strip on
the H-R diagram. The coolest models near the Hayashi track are pulsationally
stable. Towards high temperature the fundamental mode first becomes unstable,
and then the first overtone. Some one of the 2nd -4th overtone may become
unstable for the hotter models. All the modes higher than 4th (n > 4) are
pulsationally stable. The position and the width of such an instability region
on the H-R diagram critically depends on the mass, luminosity and metal
abundance of the star.
","[{""version"":""v1"",""created"":""Sun, 5 Oct 1997 08:16:15 GMT""}]","2009-10-30"
"cond-mat/9710046","Mark Peterson","Mark A. Peterson (Mount Holyoke College)","Singular Laplacian Growth","8 pages, Latex, 4 figures, Submitted to Phys. Rev. E",,"10.1103/PhysRevE.57.3221",,"cond-mat.stat-mech cond-mat.dis-nn",,"  The general equations of motion for two dimensional Laplacian growth are
derived using the conformal mapping method. In the singular case, all
singularities of the conformal map are on the unit circle, and the map is a
degenerate Schwarz-Christoffel map. The equations of motion describe the
motions of these singularities. Despite the typical fractal-like outcomes of
Laplacian growth processes, the equations of motion are shown to be not
particularly sensitive to initial conditions. It is argued that the sensitivity
of this system derives from a novel cause, the non-uniqueness of solutions to
the differential system. By a mechanism of singularity creation, every solution
can become more complex, even in the absence of noise, without violating the
growth law. These processes are permitted, but are not required, meaning the
equation of motion does not determine the motion, even in the small.
","[{""version"":""v1"",""created"":""Sun, 5 Oct 1997 01:11:07 GMT""}]","2009-10-30"
"cond-mat/9710047","Jose Jesus Rodriguez Nunez","J.J. Rodriguez - Nunez, C.E. Cordeiro and A. Delfino","The Two - Dimensional Attractive Hubbard Model: Highly Non-Linear
  Superconductivity With Sum Rules","4 pages, three figures in ps (windows95). To appear in Physica A.
  Presented at LAWNP'97",,,,"cond-mat",,"  We use the moment approach of Nolting (exact sum rules) (Z. Physik 255, 25
(1972)) for the attractive Hubbard model in the superconducting phase. Our
diagonal and off - diagonal spectral functions are constructed and evaluated
with the sum rules. They reduce to the $BCS$ limit for weak interaction.
However, the presence of correlations modify the $BCS$ picture dramatically.
For example, due to the presence of correlations we have postulated a three -
pole ansatz for the diagonal Green function, $G(\vec{k},\omega)$, while the off
- diagonal one, $B(\vec{k},\omega)$, is supposed to have two poles. In the
paper we present results for the three spectral weights of the diagonal Green
function, $\alpha_j(\vec{k})$, j = 1,2,3. Our results compare reasonably well
with more elaborated auto - consistent highly non - linear equations (double
fluctuation calculations in the $T-$ Matrix approach of one of the authors).
Then, the physical picture which emerges is that the lower Hubbard band is
split due to the superconducting gap and the upper Hubbard band remains mostly
unmodified.
","[{""version"":""v1"",""created"":""Sat, 4 Oct 1997 18:59:34 GMT""}]","2007-05-23"
"cond-mat/9710048","Jose Jesus Rodriguez Nunez","J.J. Rodriguez-Nunez and M.A. de Menezes","Beyond the Hubbard-I Solution with a One-Pole Self-Energy at
  Half-Filling with the Moment Approach: Non-Linear Effects","4 pages. 2 figures (under request). To appear in Physica A. Presented
  at LAWNP'97, Canela/RS (BRAZIL)",,"10.1016/S0378-4371(98)00183-6",,"cond-mat",,"  We have postulated a single pole for the self-energy,
$\Sigma(\vec{k},\omega)$, looking for the consequences on the one-particle
Green function, $G(\vec{k},\omega)$ in the Hubbard model. We find that
$G(\vec{k},\omega)$ satisfies the first two sum rules or moments of Nolting (Z.
Physik 255, 25 (1972)) for any values of the two unknown $\vec{k}$ parameters
of $\Sigma(\vec{k},\omega)$. In order to find these two parameters we have used
the third and four sum rules of Nolting. $G(\vec{k},\omega)$ turns out to be
identical to the one of Nolting (Z. Physik 225, 25 (1972)), which is beyond a
Hubbard-I solution since satisfies four sum rules. With our proposal we have
been able to obtain an expansion in powers of $U$ for the self-energy (here to
second order in $U$). We present numerical results at half-filling for 1- the
static spin susceptibility, $\chi(T)$ vs $T/t$ and 2- the band narrowing
parameter, $B(T)$ vs $T/t$. The two-pole Ansatz of Nolting for the one-particle
Green function is equivalent to a single pole Ansatz for the self-energy which
remains the fundamental quantity for more elaborated calculations when, for
example, lifetime effects are included.
","[{""version"":""v1"",""created"":""Sat, 4 Oct 1997 19:23:16 GMT""}]","2015-06-25"
"gr-qc/9710028","Kourosh Nozari","R.Mansouri and K.Nozari","Rotation of Plane of Polarization of an Electromagnetic Wave Propagating
  over Cosmological Distances in ""Finite Rotating Universe"" Scenario","4 Page-Latex",,,"IPM-231","gr-qc astro-ph",,"  A systematic rotation of the plane of polarization of electromagnetic
radiation propagating over cosmological distances has been claimed to be
detected by Nodland and Ralston.Taking the finite rotating universe of Oszvath
and Sch\""ucking as a toy model for the actual universe,we calculate the
rotation of the plane of polarization of electromagnetic waves in this
universe.It turns out that the observed data are consistent with the
Oszvath-Sch\""ucking parameter $k=0.39$.
","[{""version"":""v1"",""created"":""Sun, 5 Oct 1997 10:18:53 GMT""}]","2007-05-23"
"hep-ph/9710240","Amir Fariborz","A.S. Deakin, V. Elias, A.H. Fariborz, Ying Xue, Fang Shi, and T.G.
  Steele","Broad Sub-Continuum Resonances and the Case for Finite-Energy Sum-Rules","67 pages, 6 figures, to appear in Z. Phys. C","Eur.Phys.J.C4:693-704,1998","10.1007/s100520050239",,"hep-ph",,"  There is a need to go beyond the narrow resonance approximation for QCD
sum-rule channels which are likely to exhibit sensitivity to broad resonance
structures. We first discuss how the first two Laplace sum rules are altered
when one goes beyond the narrow resonance approximation to include possible
subcontinuum resonances with nonzero widths. We then show that the
corresponding first two finite energy sum rules are insensitive to the widths
of such resonances, provided their peaks are symmetric and entirely below the
continuum threshold. We also discuss the reduced sensitivity of the first two
finite energy sum rules to higher dimensional condensates, and show these sum
rules to be insensitive to dimension > 6 condensates containing at least one
q-bar q pair. We extract the direct single-instanton contribution to the F_1
sum rule for the longitudinal component of the axial-vector correlation
function from the known single-instanton contribution to the lowest Laplace sum
rule for the pseudoscalar channel. Finally, we demonstrate how inclusion of
this instanton contribution to the finite-energy sum rule leads to both a
lighter quark mass and to more phenomenologically reasonable higher-mass
resonance contributions within the pseudoscalar channel.
","[{""version"":""v1"",""created"":""Sat, 4 Oct 1997 18:41:35 GMT""}]","2011-09-13"
"hep-ph/9710241","Manuel Avila","M. Avila","Solutions of a Dirac hydrogenlike mesons and scalar confinement in low
  orbital angular momentum states","11 pages, Latex, 2 figures, Corrected Version",,,,"hep-ph",,"  Wavefunctions of a relativistic heavy quark-light quark $(Q,q)$ system
described by a Dirac hamiltonian are analyzed. By assuming that the confinement
potential is a Lorentz scalar (S), the slope of the Isgur-Wise function is
calculated at zero recoil point. The result obtained is $\xi^\prime(1)=-0.93\pm
0.05.$ This means that the solutions are perfectly consistent. If relativistic
corrections in the light quark wave functions are included the result is
$\xi^\prime(1)=-1.01\pm 0.04.$ From heavy-light data this suggest that if
relativistic effects are considered, scalar confinement is reliable in low
orbital angular momentum states.
","[{""version"":""v1"",""created"":""Sun, 5 Oct 1997 10:18:34 GMT""},{""version"":""v2"",""created"":""Tue, 27 Jan 1998 05:34:37 GMT""},{""version"":""v3"",""created"":""Wed, 28 Jan 1998 21:23:40 GMT""}]","2009-09-25"
"hep-ph/9710242","Fyodor V. Tkachov","A.V. Stepanova (Moscow State University) and F.V. Tkachov (Institute
  for Nuclear Research, Russ. Acad. Sci., Moscow)","Algebraic algorithm for next-to-leading order calculations in the
  large-s/small-x regime","PS 3p. in: QFTHEP'97 (Proc. XII Int. Workshop, Samara, 4-10 Sept.
  1997); 7-11-98: maintenance",,,"F5T-97/02","hep-ph hep-th",,"  We present an algebraic algorithm for analytical calculation of arbitrary
dimensionally regulated massless two-loop forward-scattering diagrams that
constitute the most cumbersome part of next-to-leading order calculations in
the large-s/small-x regime.
","[{""version"":""v1"",""created"":""Sun, 5 Oct 1997 13:28:33 GMT""},{""version"":""v2"",""created"":""Sat, 7 Nov 1998 06:54:12 GMT""}]","2007-05-23"
