"astro-ph/9707069","Shardha Jogee","Shardha Jogee (Yale Univ.), Jeffrey D. P. Kenney (Yale Univ.), and
  Beverly J. Smith (IPAC/Caltech)","The remarkable starburst-driven outflow in NGC 2782","18 pages, 6 jpeg figures. Accepted by ApJ Letters. Minor changes
  e.g., addition of references",,"10.1086/311178",,"astro-ph",,"  We show that the starburst-driven outflow in the peculiar galaxy NGC 2782
forms a well-defined collimated bubble which has an extent of $\sim$ 1 kpc and
a closed shell at its edge, as seen in H$\alpha$, [O III], and 5 GHz radio
continuum. The shell coincides with the maximum in intensity and linewidths of
[O III] lines in a blueshifted emission nebula which was previously detected
via optical spectroscopy by Boer et al. (1992). Such a remarkable outflow
morphology has not been observed to date in any other starburst galaxy of
comparable luminosity. The radio continuum map reveals a second bubble of
similar size on the opposite side of the nucleus, forming a striking
double-bubble outflow morphology. We argue from the morphology and short
timescale ($\sim$ $4 \times 10^6$ years) of the outflow that it is dynamically
younger than freely-expanding outflows seen in other galaxies which harbor
circumnuclear starbursts of comparable luminosity, e.g., M82. We suggest that
the outflow in NGC 2782 is in the early stage where thermal instabilities have
not yet completely ruptured the outflow bubble.We present evidence that the
outflow is driving warm and hot ionised gas, and possibly cold molecular gas,
out of the central kpc of the galaxy. We estimate the contribution of the hot,
warm, and cold phases of the ISM to the energetics of the outflow. This study
is based on our optical BVR, H$\alpha$, and [O III] observations from the WIYN
telescope and OVRO CO interferometric data, along with available 5 GHz radio
continuum and ROSAT X-ray maps.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 1997 02:19:35 GMT""},{""version"":""v2"",""created"":""Wed, 17 Dec 1997 05:47:37 GMT""}]","2009-10-30"
"cond-mat/9707058","Eugene Zaremba","A. Griffin (U. of Toronto) and E. Zaremba (Queen's U., Canada)","First and second sound in a uniform Bose gas","14 pages, 5 Postscript figures",,"10.1103/PhysRevA.56.4839",,"cond-mat",,"  We have recently derived two-fluid hydrodynamic equations for a trapped
weakly-interacting Bose gas. In this paper, we use these equations to discuss
first and second sound in a uniform Bose gas. These results are shown to agree
with the predictions of the usual two-fluid equations of Landau when the
thermodynamic functions are evaluated for a weakly-interacting gas. In a
uniform gas, second sound mainly corresponds to an oscillation of the
superfluid (the condensate) and is the low frequency continuation of the
Goldstone-Bogoliubov symmetry-breaking mode.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 1997 18:23:30 GMT""}]","2009-10-30"
"cond-mat/9707059",,"Takayuki Shirakura and Fumitaka Matsubara","Low Temperature Phase of Asymmetric Spin Glass Model in Two Dimensions","9 pages, 5 Postscript figures, REVtex",,"10.1103/PhysRevLett.79.2887",,"cond-mat.dis-nn",,"  We investigate low temperature properties of a random Ising model with $+J$
and $-aJ (a \neq 1)$ bonds in two dimensions using a cluster heat bath method.
It is found that the Binder parameters $g_L$ for different sizes of the lattice
come together at almost the same temperature implying the occurrence of the
spin glass(SG) phase transition. From results of finite size scaling analyses,
we suggest that the SG phase really occurs at low temperatures which is
characterized by a power law decay of spin correlations.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 1997 06:57:35 GMT""}]","2009-10-30"
"cond-mat/9707060","Peter Young","A. P. Young","Finite Temperature and Dynamical Properties of the Random
  Transverse-Field Ising Spin Chain","10 pages, 14 postscript files included. The discussion of the typical
  time dependent correlation function has been greatly expanded. Other papers
  of APY are available on-line at http://schubert.ucsc.edu/peter","Phys. Rev. B56, 11691 (1997)","10.1103/PhysRevB.56.11691",,"cond-mat.dis-nn",,"  We study numerically the paramagnetic phase of the spin-1/2 random
transverse-field Ising chain, using a mapping to non-interacting fermions. We
extend our earlier work, Phys. Rev. 53, 8486 (1996), to finite temperatures and
to dynamical properties. Our results are consistent with the idea that there
are ``Griffiths-McCoy'' singularities in the paramagnetic phase described by a
continuously varying exponent $z(\delta)$, where $\delta$ measures the
deviation from criticality. There are some discrepancies between the values of
$z(\delta)$ obtained from different quantities, but this may be due to
corrections to scaling. The average on-site time dependent correlation function
decays with a power law in the paramagnetic phase, namely
$\tau^{-1/z(\delta)}$, where $\tau$ is imaginary time. However, the typical
value decays with a stretched exponential behavior, $\exp(-c\tau^{1/\mu})$,
where $\mu$ may be related to $z(\delta)$. We also obtain results for the full
probability distribution of time dependent correlation functions at different
points in the paramagnetic phase.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 1997 14:40:27 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jul 1997 01:23:55 GMT""}]","2009-10-30"
"cond-mat/9707061","Sean Washburn","K. Ismail, J.O. Chu, Dragana Popovic, A.B. Fowler, and S. Washburn","Comment on ``Electric Field Scaling at B=0 Metal-Insulator Transition in
  Two Dimensions''","one latex page plus one (color) figure (.eps)",,,,"cond-mat.str-el",,"  In a recent Letter, Kravchenko et al. [cond-mat/9608101] have provided
evidence for a metal-insulator transition (MIT) in a two-dimensional electron
system (2DES) in Si metal-oxide-semiconductor field-effect transistors
(MOSFETs). The transition observed in these samples occurs at relatively low
electron densities $n_{s}\sim (1-2)\times 10^{11}cm^{-2}$ and high disorder
$\sigma_{c}\sim e^{2}/2h$. We present evidence for a 2D MIT in a structure
where the disorderis about two orders of magnitude weaker than in Si MOSFETs.
The MIT occurs in the same range of $n_s$ Providing very strong evidence that
the 2D MIT in Si-based devices is caused by electron-electron interactions.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 1997 15:03:30 GMT""}]","2008-02-03"
"hep-ph/9707253","Heath O'Connell","A.G. Williams, H.B. O'Connell and A.W. Thomas","On extracting the rho-omega mixing amplitude from the pion form-factor","8 pages, uses espcrc1.sty (provided in uufile). Talk given at the
  Int. Conf. on Quark Lepton Nuclear Physics, Osaka, May 20 - 23, 1997","Nucl.Phys.A629:464c-470c,1998","10.1016/S0375-9474(97)00723-9","ADP-97-19/T256, UK/97-15","hep-ph",,"  In this paper we improve and extend a recent analysis which showed that the
rho-omega mixing amplitude cannot be unambiguously extracted from the pion
electromagnetic form-factor in a model independent way. In particular, we focus
on the argument that the extraction is sensitive to the presence of any
intrinsic omega_I -> pi pi coupling. Our extended analysis confirms the
original conclusion, with only minor, quantitative differences. The extracted
mixing amplitude is shown to be sensitive to both the intrinsic coupling
omega_I -> pi pi and to the value assumed for the mass of the rho^0-meson.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 1997 18:52:13 GMT""}]","2008-11-26"
"hep-ph/9707254","Xiangdong Ji","Xiangdong Ji and Jonathan Osborne","One-Loop QCD Corrections to Deeply Virtual Compton Scattering: The
  Parton Helicity-Independent Case","7 pages, latex, no figures","Phys.Rev.D57:1337-1340,1998","10.1103/PhysRevD.57.1337","UMD PP#98-001, DOE/ER/40762-124","hep-ph",,"  We show that the one-loop QCD correction to deeply-virtual Compton scattering
can be factorized into the finite perturbative contributions and the
collinearly-divergent terms, which correspond to the matrix elements of the
off-forward parton distributions. As a by-product, we obtain the
next-to-leading order coefficient functions in the generalized operator product
expansion of two vector currents.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 1997 22:36:00 GMT""}]","2009-12-30"
"hep-ph/9707255","Samal Manoj Kumar","M K Samal","CP Violation in EPR-like neutrino oscillations","5 pages, latex, revtex style, no figures, more discussions are added
  in the revised version","Mod.Phys.Lett. A13 (1998) 533-540","10.1142/S0217732398000590","IP/BBSR/97-18","hep-ph",,"  After reviewing the general framework to study EPR-like neutrino
oscillations, we derive expressions for the oscillation probabilities and a
direct measure of CP violation. We compare the possibility of studying CP
violation in this case with that of baseline accelerator experiments and
conclude that it is possible to study CP violation in experiments with length
scales comparable to that of short baseline accelerator experiments.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 1997 08:32:03 GMT""},{""version"":""v2"",""created"":""Mon, 18 Aug 1997 11:16:37 GMT""}]","2009-10-30"
"hep-th/9707061","Jonathan Bagger","Jonathan Bagger, Alexander Galperin","The tensor Goldstone multiplet for partially broken supersymmetry","7 pages, Latex. Expanded discussion of duality symmetries","Phys.Lett. B412 (1997) 296-300","10.1016/S0370-2693(97)01030-7","JHU-TIPAC-97012","hep-th",,"  We show that the tensor gauge multiplet of N=1 supersymmetry can serve as the
Goldstone multiplet for partially broken rigid N=2 supersymmetry. We exploit a
remarkable analogy with the Goldstone-Maxwell multiplet of hep-th/9608177 to
find its nonlinear transformation law and its invariant Goldstone action. We
demonstrate that the tensor multiplet has two dualities. The first transforms
it into the chiral Goldstone multiplet; the other leaves it invariant.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 1997 18:45:55 GMT""},{""version"":""v2"",""created"":""Thu, 11 Sep 1997 17:58:26 GMT""}]","2009-10-30"
"hep-th/9707062","Cliff Burgess","C.P. Burgess, A. de la Macorra, I. Maksymyk and F. Quevedo","Fixing the Dilaton with Asymptotically Expensive Physics?","14 pages, (typos corrected and reference added)","Phys.Lett. B410 (1997) 181-187","10.1016/S0370-2693(97)00973-8","McGill-97/07, IFUNAM FT97-10","hep-th hep-ph",,"  We propose a general mechanism for stabilizing the dilaton against runaway to
weak coupling. The method is based on features of the effective superpotential
which arise for supersymmetric gauge theories which are not asymptotically
free. Consideration of the 2PI effective action for bilinear operators of
matter and gauge superfields allows one to overcome the obstacles to
constructing a nonvanishing superpotential.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 1997 06:55:26 GMT""},{""version"":""v2"",""created"":""Fri, 5 Sep 1997 14:46:32 GMT""}]","2009-10-30"
