"alg-geom/9707012","Kalle Karu","Dan Abramovich and Kalle Karu","Weak semistable reduction in characteristic 0","AMS-LaTeX, 22 pages",,,,"alg-geom math.AG",,"  Let X->B be a morphism of varieties in characteristic zero. Semistable
reduction has been proved for dim(B)=1 (Kempf, Knudsen, Mumford, Saint-Donat),
dim(X)=dim(B)-1 (de Jong) and dim(X)=dim(B)+2 (Alexeev, Kollar,
Shepherd-Barron). In this paper we consider the general case. First we define
what we mean by a semistable morphism in terms of toroidal embeddings. Then we
reduce the varieties to toroidal embeddings and solve a slightly weaker version
of semistable reduction. We also state the full semistable reduction problem in
terms of combinatorics of the associated polyhedral complexes.
","[{""version"":""v1"",""created"":""Sun, 13 Jul 1997 17:55:10 GMT""}]","2008-02-03"
"astro-ph/9707148","Mauro Orlandini","F. Frontera (1,2), D. Dal Fiume (1), E. Costa (3), M. Feroci (3), M.
  Orlandini (1), L. Nicastro (1), E. Palazzi (1), G. Zavattini (2) and P.
  Giommi (4) ((1) TeSRE/CNR Bologna - Italy, (2) Physics Dpt, Ferrara Univ -
  Italy, (3) IAS/CNR Frascati - Italy, (4) BeppoSAX/SDC, Roma - Italy)","Initial Results from the High Energy Experiment PDS aboard BeppoSAX","5 pages, 4 PostScript figures, uses aipproc.sty, to appear in
  Proceedings of Fourth Compton Symposium",,"10.1063/1.54060",,"astro-ph",,"  The high energy experiment PDS is one of the Narrow Field Instruments aboard
the X-ray astronomy satellite BeppoSAX. It covers the energy band from 15 to
300 keV. Here we report results on its in-flight performance and observations
of galactic and extragalactic X-ray sources obtained during the Science
Verification Phase of the satellite: in particular Crab, Cen X-3, 4U1626-67 and
PKS2155-305.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 09:15:43 GMT""}]","2009-10-30"
"astro-ph/9707149",,"B. M. Gaensler (1,2) ((1) Astrophysics Department, University of
  Sydney, (2) Australia Telescope National Facility)","The nature of bilateral supernova remnants","35 pages (requires aaspp4.sty), 11 JPG figures, 2 PS figures.
  Accepted to ""The Astrophysical Journal""",,"10.1086/305146","ADP 114 97","astro-ph",,"  We present high-resolution radio images at 1.4 GHz of two Galactic supernova
remnants (SNRs), G003.8--00.3 (formerly G003.7--00.2) and G350.0--02.0
(formerly G350.0-01.8). Although the two objects are very different in
appearance, in both cases the radio emission shows a clear bilateral (or
``barrel'') morphology for which the axis is parallel to the Galactic Plane.
  The majority of Galactic SNRs have now been observed at high resolution, and
one can define a clear bilateral subset of the population. We consider a sample
of 17 such SNRs, and find a highly significant tendency for the bilateral axes
of these SNRs to be aligned with the Galactic Plane. We interpret this as
indicating that ``extrinsic'' effects dominate the morphology of such remnants.
Specifically, we argue that the Galactic magnetic field causes these SNRs to
appear bilateral, either directly, in the form of magnetic field compression
and/or quasi-perpendicular acceleration of electrons in the supernova shock, or
more likely indirectly, by pre-processing the interstellar medium to produce
density stratifications extended along the Plane.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 09:09:24 GMT""}]","2009-10-30"
"astro-ph/9707150","Rob Swaters","R.A. Swaters, R. Sancisi, J.M. van der Hulst (Kapteyn Astronomical
  Institute)","The HI Halo of NGC 891","12 pages, LaTeX, plus 5 postscript figures. Accepted for publication
  in the Astrophysical Journal, Part 1","Astrophys.J.491:140-145,1997","10.1086/304958",,"astro-ph",,"  Neutral hydrogen observations of the nearby, edge-on spiral galaxy NGC 891
reveal the presence of an HI halo extending up to at least 5 kpc from the
plane. This halo gas appears to rotate 25 to 100 km/s more slowly than the gas
in the plane. If this velocity difference is due to the gradient in the
gravitational potential, then it may serve to discriminate between disk and
spheroidal mass models. The classic picture of a large outer flare in the HI
layer of NGC 891 may no longer be valid. A correlation is seen between the
distributions of HI, Halpha and radio continuum emission, which supports, in
accordance with galactic fountain models, the picture of a substantial
disk-halo circulation related to the star formation activity in the disk of NGC
891. There is now also clear evidence for the presence of a rapidly rotating
(v_rot ~ 230 km/s) disk or ring of HI in the central part of NGC 891.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 10:18:06 GMT""}]","2009-05-29"
"cond-mat/9707139","Zhong Fang","Z. Fang, K. Terakura, H. Sawada, T. Miyazaki and I. Solovyev","Inverse versus Normal NiAs Structure as High-Pressure Phase of FeO and
  MnO","7 pages, 3 figures and 1 table; submitted to ""Nature""",,"10.1103/PhysRevLett.81.1027",,"cond-mat.mtrl-sci cond-mat.str-el",,"  The high-pressure phases of FeO and MnO were studied by the first principles
calculations. The present theoretical study predicts that the high-pressure
phase of MnO is a metallic normal B8 structure (nB8), while that of FeO should
take the inverse B8 structure (iB8). The novel feature of the unique
high-pressure phase of stoichiometric FeO is that the system should be a band
insulator in the ordered antiferromagnetic (AF) state and that the existence of
a band gap leads to special stability of the phase. The observed metallicity of
the high-pressure and high-temperature phase of FeO may be caused by the loss
of AF order and also by the itinerant carriers created by non-stoichiometry.
Analysis of x-ray diffraction experiments provides a further support to the
present theoretical prediction for both FeO and MnO. Strong stability of the
high-pressure phase of FeO will imply possible important roles in Earth's core.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 03:33:00 GMT""}]","2009-10-30"
"cond-mat/9707140","Beom Jun Kim","Beom Jun Kim, M.Y. Choi, S. Ryu, and D. Stroud","Anomalous Relaxation in the XY Gauge Glass","6 pages, 6 postscript figures, to appear in Phys. Rev. B","Phys. Rev. B 56, 6007 (1997)","10.1103/PhysRevB.56.6007","SNUTP 96-35","cond-mat.supr-con cond-mat.dis-nn",,"  To study relaxation dynamics of the two-dimensional XY gauge glass, we
integrate directly the equations of motion and investigate the energy function.
As usual, it decays exponentially at high temperatures; at low but non-zero
temperatures, it is found to exhibit an algebraic relaxation. We compute the
relaxation time $\tau$ as a function of the temperature $T$ and find that the
rapid increase of $\tau$ at low temperatures is well described by $\tau \sim
(T-T_g)^{-b}$ with $T_g = 0.22 \pm 0.02$ and $b = 0.76 \pm 0.05$, which
strongly suggests a finite-temperature glass transition. The decay of vorticity
is also examined and explained in terms of a simple heuristic model, which
attributes the fast relaxation at high temperatures to annihilation of unpinned
vortices.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 05:51:14 GMT""}]","2008-02-03"
"cond-mat/9707141","Jose Manuel Gomez Vilar","J. M. G. Vilar, G. Gomila and J. M. Rub\'i","Stochastic Resonance in Noisy Non-Dynamical Systems","4 pages, RevTex, 3 PostScript figures available upon request",,"10.1103/PhysRevLett.81.14",,"cond-mat",,"  We have analyzed the effects of the addition of external noise to
non-dynamical systems displaying intrinsic noise, and established general
conditions under which stochastic resonance appears. The criterion we have
found may be applied to a wide class of non-dynamical systems, covering
situations of different nature. Some particular examples are discussed in
detail.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 08:10:05 GMT""}]","2016-08-15"
"cond-mat/9707142","Andrej Postnikov","R. I. Eglitis (1,2), N. E. Christensen (3), E. A. Kotomin (2,3), A. V.
  Postnikov (1), G. Borstel (1) ((1) Osnabrueck University, Germany, (2)
  Institute of Solid State Physics, University of Latvia, Riga, Latvia, (3)
  Institute of Physics and Astronomy, University of Aarhus, Denmark)","First-principles and semiempirical calculations for F centers in KNbO3","7 pages, including 4 postscript figures; with minor changes, as will
  appear in Phys. Rev. B","Phys. Rev. B 56 (1997) 8599","10.1103/PhysRevB.56.8599",,"cond-mat.mtrl-sci",,"  The linear muffin-tin-orbital method combined with density functional theory
(local approximation) and the semiempirical method of the intermediate neglect
of the differential overlap (INDO) based on the Hartree-Fock formalism are used
for the study of the $F$ centers (O vacancy with two electrons) in cubic and
orthorhombic ferroelectric KNbO$_3$ crystals. Calculations for 39-atom
supercells show that the two electrons are considerably delocalized even in the
ground state of the defect. Their wave functions extend over the two Nb atoms
closest to the O vacancy and over other nearby atoms. Thus, the $F$ center in
KNbO$_3$ resembles electron defects in the partially-covalent SiO$_2$ crystal
(the so-called $E^{\prime}_1$ center) rather than usual $F$ centers in ionic
crystals like MgO and alkali halides. This covalency is confirmed by the
analysis of the electronic density distribution. Absorption energies were
calculated by means of the INDO method using the $\Delta$ self-consistent-field
scheme after a relaxation of atoms surrounding the $F$ center. For the
orthorhombic phase three absorption bands are calculated to lie at 2.72 eV,
3.04 eV, and 3.11 eV. The first one is close to that observed under electron
irradiation. For the cubic phase, stable at high temperatures, above 708 K,
only the two bands, at 2.73 eV and 2.97 eV, are expected.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 10:06:48 GMT""},{""version"":""v2"",""created"":""Mon, 25 Aug 1997 16:15:38 GMT""}]","2009-10-30"
"cond-mat/9707143","Ivar Zapata","Ivar Zapata, Fernando Sols, and Anthony J. Leggett","Josephson effect between trapped Bose-Einstein condensates","4 pages, RevTex",,"10.1103/PhysRevA.57.R28",,"cond-mat physics.atom-ph quant-ph",,"  We study the Josephson effect between atomic Bose-Einstein condensates. By
drawing on an electrostatic analogy, we derive a semiclassical functional
expression for the three-dimensional Josephson coupling energy in terms of the
condensate density. Estimates of the capacitive energy and of the Josephson
plasma frequency are also given. The effect of dissipation due to the
incoherent exchange of normal atoms is analysed. We conclude that coherent
Josephson dynamics may already be observable in current experimental systems.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 10:34:11 GMT""}]","2009-10-30"
"cond-mat/9707144","Izumida Wataru","Wataru Izumida, Osamu Sakai and Yukihiro Shimizu","Many Body Effects on Electron Tunneling through Quantum Dots in an
  Aharonov-Bohm Circuit","21 pages, 11 PostScript figures, LaTeX, uses jpsj.sty epsbox.sty","J. Phys. Soc. Jpn. Vol.66 (1997) 717-726","10.1143/JPSJ.66.717",,"cond-mat.mes-hall cond-mat.str-el",,"  Tunneling conductance of an Aharonov-Bohm circuit including two quantum dots
is calculated based on the general expression of the conductance in the linear
response regime of the bias voltage. The calculation is performed in a wide
temperature range by using numerical renormalization group method. Various
types of AB oscillations appear depending on the temperature and the potential
depth of the dots. Especially, AB oscillations have strong higher harmonics
components as a function of the magnetic flux when the potential of the dots is
deep. This is related to the crossover of the spin state due to the Kondo
effect on quantum dots. When the temperature rises up, the amplitude of the AB
oscillations becomes smaller reflecting the breaking of the coherency.
","[{""version"":""v1"",""created"":""Mon, 14 Jul 1997 11:03:04 GMT""}]","2009-10-30"
