"astro-ph/9712173","Andrew J. Bunker","A. J. Bunker, L. A. Moustakas, M. Davis, B. L. Frye, T. J. Broadhurst
  and H. Spinrad","Resolving the Stellar Populations in a z=4.04 Lensed Galaxy","4 pages, 3 encapsulated postscript figures; uses LaTex209 with
  paspconf.sty & epsf.sty; to appear in ""The Young Universe: Galaxy Formation
  and Evolution at Intermediate and High Redshift"" (Rome Observatory, 29 Sept -
  3 Oct 1997) eds. S. D'Odorico, A. Fontana and E. Giallongo, A.S.P. Conf. Ser",,,,"astro-ph",,"  We have recently obtained deep near-IR Keck imaging of a newly-discovered
z=4.04 galaxy (Frye & Broadhurst 1998). This is lensed by the rich foreground
cluster Abell 2390 (z=0.23) into highly-magnified arcs 3-5"" in length. Our H-
and K'-band Keck/NIRC imaging allows us to map the Balmer+4000Ang break
amplitude. In combination with high-quality archival HST/WFPC2 data, we can
spatially resolve stellar populations along the arcs. The WFPC2 images clearly
reveal several bright knots, which may correspond to sites of active star
formation. Indeed, in some spatial regions the Keck/LRIS discovery spectra are
consistent with OB-star spectral energy distributions in the rest-ultraviolet.
However, there are considerable portions of the arcs which appear redder with
no Ly-alpha emission, consistent with being post-starburst regions.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 1997 02:27:28 GMT""}]","2007-05-23"
"astro-ph/9712175","Wei Cui","Wei Cui (MIT)","Evidence for Centrifugal Barrier in X-ray Pulsar GRO J1744-28","4 pages. To appear in ""Accretion Processes in Astrophysical Systems"",
  Proc. of the 8th Annual Astrophysics Conference in Maryland, S. S. Holt & T.
  Kallman (eds.)",,"10.1063/1.55924",,"astro-ph",,"  We present further observational evidence of the effects of a centrifugal
barrier in GRO J1744-28, based on continued monitoring of the source with RXTE.
For X-ray pulsars, the centrifugal barrier manifests itself in the cessation of
pulsed emission when the source becomes faint. We show that such phenomenon
occurred repeatedly for GRO J1744-28, following the decay of two X-ray
outbursts. This has allowed a direct measurement of the dipole field strength
for this pulsar. Here we argue that some of the other peculiar properties
observed of this source may also be related to an active centrifugal barrier.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 1997 19:29:54 GMT""}]","2009-10-30"
"cond-mat/9712148","Robert Shrock","Martin Rocek, Robert Shrock, and Shan-Ho Tsai (Institute for
  Theoretical Physics, State University of New York at Stony Brook)","Chromatic Polynomials for Families of Strip Graphs and their Asymptotic
  Limits","48 pages, Latex, 12 encapsulated postscript figures, to appear in
  Physica A","Physica A 252, 505 (1998)","10.1016/S0378-4371(98)00034-X",,"cond-mat.stat-mech hep-lat math.CO",,"  We calculate the chromatic polynomials $P((G_s)_m,q)$ and, from these, the
asymptotic limiting functions $W(\{G_s\},q)=\lim_{n \to \infty}P(G_s,q)^{1/n}$
for families of $n$-vertex graphs $(G_s)_m$ comprised of $m$ repeated subgraphs
$H$ adjoined to an initial graph $I$. These calculations of $W(\{G_s\},q)$ for
infinitely long strips of varying widths yield important insights into
properties of $W(\Lambda,q)$ for two-dimensional lattices $\Lambda$. In turn,
these results connect with statistical mechanics, since $W(\Lambda,q)$ is the
ground state degeneracy of the $q$-state Potts model on the lattice $\Lambda$.
For our calculations, we develop and use a generating function method, which
enables us to determine both the chromatic polynomials of finite strip graphs
and the resultant $W(\{G_s\},q)$ function in the limit $n \to \infty$. From
this, we obtain the exact continuous locus of points ${\cal B}$ where
$W(\{G_s\},q)$ is nonanalytic in the complex $q$ plane. This locus is shown to
consist of arcs which do not separate the $q$ plane into disconnected regions.
Zeros of chromatic polynomials are computed for finite strips and compared with
the exact locus of singularities ${\cal B}$. We find that as the width of the
infinitely long strips is increased, the arcs comprising ${\cal B}$ elongate
and move toward each other, which enables one to understand the origin of
closed regions that result for the (infinite) 2D lattice.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 1997 19:00:54 GMT""}]","2015-06-25"
"cond-mat/9712149","Kravtsov Vladimir","V.E.Kravtsov and V.I.Yudson","On a Connection Between Nonlinear Response to an External Field and
  Equilibrium Properties of Systems with Interaction: Comment on
  cond-mat/9711226 by Kopietz and Voelker","5 pages RevTeX, 2 eps.figures",,,,"cond-mat",,"  We demonstrate the danger of a naive identification of kinetic coefficients
in the free-electron response expansion in powers of an external electric field
and coefficients in the expansion of the corresponding equilibrium quantity in
powers of the fluctuating intrinsic electric field. A particular example of the
direct current generation by an AC electric field in a mesoscopic system of
non-interacting electrons vs. the Fock contribution to the equilibrium
persistent current in a system of interacting electrons is considered.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 1997 11:43:23 GMT""}]","2007-05-23"
"cond-mat/9712150","Parida Mina K.","Y.S.Jain(North-Eastern Hill Univ.,Shillong,India)","Unified Microscopic Theory of a System of Interacting Bosons","20 pages,LATEX",,,"NEHU-SEPT-97","cond-mat.stat-mech",,"  This paper reports the unified microscopic theory of a system of interacting
bosons such as liquid $^4He$.Each particle in the system represents a $(q;-q)$
pair moving with a centre of mass momentum K.Particles form bound pairs below
$\lambda$-point and have a kind of collection binding between them.The binding
is idenified as an energy gap between the superfluid and the normal states of
the system.The $\lambda$-transition is a consequence of interparticle quantum
correlations.It follows an order-disoder of particles in their phase structure
as well as the onset of Bose_ Einstein condensatin in the state of $q={\pi}/d$
and K=0.In addition to the well known modes of collective motion such as
photons,rotons, maxons etc.,the superfluid state also exhibits a new kind of
quasi-particle,omon,characterised by a phononlike wave of the oscillations of
the momentum coordinates of the particle.The theory explains the properties of
$He-II$ at quantitative level and vindicates the two-fluid theory of Landau.The
paper finally describes the way this theory could help in understanding the
superfluidity of 1-D and 2-D systems.It also analyses the possibility of
applying this approach to develop similar framework for a fermion system
including an atomic nucleus.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 1997 15:21:11 GMT""}]","2007-05-23"
"hep-ph/9712370","Kazuyuki Kanaya","Kazuyuki Kanaya","Developments in Finite Temperature QCD on the Lattice with Dynamical
  Quarks","Review presented at the International Workshop on ``Physics of
  Relativistic Heavy Ion Collisions'', Kyoto, Japan, 9--11 June 1997. To be
  published in the Proceedings [Prog. Theor. Phys., Suppl.]","Prog.Theor.Phys.Suppl.129:197-208,1997","10.1143/PTPS.129.197","UTCCP-P-30","hep-ph",,"  I report on some recent developments in nonperturbative studies of finite
temperature QCD with dynamical quarks on the lattice. I discuss new studies of
improved lattice actions and their application to finite temperature QCD. I
also summarize the status of lattice investigations about the order of the
finite temperature QCD transition for the case of two flavors of degenerate
light quarks, using both staggered and Wilson lattice fermions.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 1997 08:34:02 GMT""}]","2014-11-17"
"hep-ph/9712371","Wolfgang Kilian","W. Kilian and O. Nachtmann","Single Pseudoscalar Meson Production in Diffractive ep Scattering","24 pages, LaTeX2e, uses feynmp.sty [included] and amstex.sty","Eur.Phys.J.C5:317-326,1998","10.1007/s100520050274","HD-THEP 97-57","hep-ph",,"  Exclusive pseudoscalar meson production in ep scattering at high energies is
a direct probe for a possible ""odderon"" exchange in soft hadronic processes.
Using a simple phenomenological ansatz for the odderon, we demonstrate how it
can be separated from the contribution due to photon-photon fusion, and the
relevant parameters be measured. Total cross sections and differential
distributions are presented for pi0, eta, eta', and eta_c production. Results
are given from both a full calculation and one using the equivalent photon
approximation. The accuracy of the latter is discussed.
","[{""version"":""v1"",""created"":""Sun, 14 Dec 1997 10:47:14 GMT""}]","2011-09-13"
"hep-th/9712131","Peter Leifer","Peter Leifer","Quantum Field Theory on Fock Projective Space","10 pages, LaTeX",,,,"hep-th",,"  It is shown that some analog of the ``second quantization'' exists in the
framework of CP(N) theory. I analyse conditions under that ``geometrical
bosons'' may be identified with real physical fields. The compact character of
a state manifold should preserve the quantities of dynamical variables from
divergences.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 1997 19:41:14 GMT""}]","2007-05-23"
"math/9712248","Jim Bryan","Jim Bryan and Jason Fulman","Orbifold Euler characteristics and the number of commuting n-tuples in
  symmetric groups",,,,,"math.CO math.AT",,"  Generating functions for the number of commuting m-tuples in the symmetric
groups are obtained. We define a natural sequence of ``orbifold Euler
characteristics'' for a finite group G acting on a manifold X. Our definition
generalizes the ordinary Euler characteristic of X/G and the string-theoretic
orbifold Euler characteristic. Our formulae for commuting m-tuples underlie
formulas that generalize the results of Macdonald and Hirzebruch-Hofer
concerning the ordinary and string-theoretic Euler characteristics of symmetric
products.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 1997 18:13:36 GMT""}]","2007-05-23"
"math/9712250","Darryl McCullough","Sungbok Hong and Darryl McCullough","Ubiquity of geometric finiteness in mapping class groups of Haken
  3-manifolds","33 pages","Pacific J. Math. 188 (1999), 275-301",,,"math.GT",,"  Mapping class groups of Haken 3-manifolds enjoy many of the homological
finiteness properties of mapping class groups of 2-manifolds of finite type.
For example, H(M) has a torsionfree subgroup of finite index, which is
geometrically finite (i. e. is the fundamental group of a finite aspherical
complex). This was proven by J. Harer for 2-manifolds and by the second author
for Haken 3-manifolds. In this paper we prove that H(M) acts properly
discontinuously on a contractible simplicial complex, with compact quotient.
This implies that every torsionfree subgroup of finite index in H(M) is
geometrically finite. Also, a simplified proof of the fact that torsionfree
subgroups of finite index in H(M) exist is given. All results are proven for
mapping class groups that preserve a boundary pattern in the sense of K.
Johannson. As an application, we show that if F is a nonempty compact
2-manifold in the boundary of M, then the classifying space BDiff(M rel F) of
the diffeomorphism group of M relative to F has the homotopy type of a finite
aspherical complex.
","[{""version"":""v1"",""created"":""Sat, 13 Dec 1997 20:53:19 GMT""}]","2007-05-23"
