"astro-ph/9709126","Jianmin Liu","J.M.Liu (SISSA)","Proximity Effect for Metal Absorption Systems","2 pages LATEX, with 1 PostScript figure, conf_iap.sty To appear in
  Proceedings of 13th IAP (Paris) Colloquium (July 1-5, 1997) Structure and
  Evolution of the IGM from QSO Absorption Lines, ed. P. Petitjean, S. Charlot",,,,"astro-ph",,"  Using our photoionization code CIRRUS, we show that the study of proximity
effect on metal elements provides a possibility of placing constraints on the
spectral shape of the metagalactic UV background (MUVB). From theoretical point
of view, the most optimum indicator of the spectral shape of the MUVB is the
ratio OIV/OIII. Unlike previous thought, the ratio SiIV/CIV is not a good
indicator of the spectral shape because of its strong dependence on an
ionization parameter as well. We also find that the observed excess of CIV
systems in luminous QSOs may be a photoionization effect, but not a
gravitational lensing effect.
","[{""version"":""v1"",""created"":""Sat, 13 Sep 1997 16:09:25 GMT""}]","2007-05-23"
"astro-ph/9709127","Rychard Bouwens","Rychard J. Bouwens (UC Berkeley), Laura Cayon (Universidad de
  Cantabria), and Joseph Silk (UC Berkeley)","Inside-Out Infall Formation of Disk Galaxies: Do Predictions Differ from
  Models without Size Evolution?","12 pages, LaTeX (aaspp4.sty), accepted by ApJ Letters",,"10.1086/310969",,"astro-ph",,"  We develop an idealized inside-out formation model for disk galaxies to
include a realistic mix of galaxy types and luminosities that provides a fair
match to the traditional observables. The predictions of our infall models are
compared against identical models with no-size evolution by generating fully
realistic simulations of the HDF, from which we recover the angular size
distributions. We find that our infall models produce nearly identical angular
size distributions to those of our no-size evolution models in the case of a
Omega = 0 geometry but produce slightly smaller sizes in the case of a Omega =
1 geometry, a difference we associate with the fact that there is a different
amount of cosmic time in our two models for evolving to relatively low
redshifts (z \approx 1-2). Our infall models also predict a slightly smaller
(11% - 29%) number of large (disk scale lengths > 4 h_{50} ^{-1} kpc) galaxies
at z \approx 0.7 for the CFRS as well as different increases in the central
surface brightness of the disks for early-type spirals, the infall model
predicting an increase by 1.2 magnitudes out to z \approx 2 (Omega = 0), 1
(Omega = 1), while our no-size evolution models predict an increase of only 0.5
magnitude. This result suggests that infall models could be important for
explaining the 1.2-1.6 magnitude increase in surface brightness reported by
Schade et al. (1995, 1996a, 1996b).
","[{""version"":""v1"",""created"":""Sat, 13 Sep 1997 21:02:41 GMT""}]","2009-10-30"
"astro-ph/9709128","ZhiQiang Shen","Z.-Q. Shen (1,2), T.-S. Wan (2), J. M. Moran (1), D. L. Jauncey (3),
  J. E. Reynolds (3), A. K. Tzioumis (3), R. G. Gough (3), R. H. Ferris (3), M.
  W. Sinclair (3), D.-R. Jiang (2), X.-Y. Hong (2), S.-G. Liang (2), M. E.
  Costa (4), S. J. Tingay (5), P. M. McCulloch (6), J. E. J. Lovell (6), E. A.
  King (6), G. D. Nicolson (7), D. W. Murphy (8), D. L. Meier (8), T. D. van
  Ommen (8), and P. G. Edwards (9) ((1) CfA, USA, (2) Shanghai Obs, P. R.
  China, (3) ATNF, Australia, (4) Univ of W. Australia, Australia, (5) MSSSO,
  Australia, (6) Univ of Tasmania, Australia, (7) HartRAO, South Africa, (8)
  JPL, USA, (9) ISAS, Japan)","A 5 GHz Southern Hemisphere VLBI Survey of Compact Radio SOurces - I","39 pages including 7 ps figures and 5 tables, Latex, to appear in AJ",,"10.1086/118621",,"astro-ph",,"  We report the results of a 5 GHz southern hemisphere VLBI survey of compact
extragalactic radio sources. These observations were undertaken with the SHEVE
array plus Shanghai station in November 1992. A sample of 22 sources was
observed and images of 20 of them were obtained. Of the 20 sources imaged, 15
showed core-jet structure, one had a two-sided jet and 4 had only single
compact cores. Eleven of the 16 core-jet (including one two-sided jet) sources
show some evidence of bent jets. No compact doubles were found. A comparison
with previous images and the temporal variability of the radio flux density
showed evidence for superluminal motion in 4 of the sources. Five sources were
high energy (>100 MeV) gamma-ray sources. Statistical analysis showed the
dominance of highly polarized quasars among the detected gamma-ray sources,
which emphasizes the importance of beaming effect in the gamma-ray emission.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 06:50:12 GMT""}]","2009-10-30"
"astro-ph/9709129","Michael Rauch","Michael Rauch (Caltech)","Small Scale Structure in the Universe and the Distribution of Baryons at
  High Redshift","9 pages LATEX, with 8 PostScript figures, using conf_iap.sty. To
  appear in the Proceedings of the 13th IAP (Paris) Colloquium, (July 1-5,
  1997) Structure and Evolution of the IGM from QSO Absorption Lines, ed. P.
  Petitjean, S. Charlot",,,,"astro-ph",,"  We briefly discuss the relevance of Lyman alpha forest observations for
measuring cosmological parameters, comparing the properties of high z QSO
spectra with those of artifical spectra from hydrodynamic simulations, based on
hierarchical cosmologies. In particular, we describe a measurement of the
baryon content of the universe obtained by matching the average opacity of the
Lyman alpha forest from simulations to the observed one from a new dataset
observed with the Keck telescope. We then report on a search for possible small
scale structure in the intergalactic medium which could be unresolved by
current cosmological simulations. Observing column density gradients in the
spectra of lensed QSOs we find the typical intergalactic gas cloud to be
structureless down to at least the 4 % level, on scales of 0.1 kpc. Extending
the study of lensed absorption to higher column densities we begin to sample
the velocity field internal to high redshift galaxies. Remarkable differences
in column density (of order 50 %) and projected velocity (tens of km/s) between
lines of sight separated by only a few hundred parsecs are found, and we may be
observing structure in the early interstellar medium.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 08:29:36 GMT""}]","2007-05-23"
"astro-ph/9709130","C. Murali","Chigurupati Murali, Scott Tremaine (CITA)","Linear response of galactic halos to adiabatic gravitational
  perturbations","24 pages, 3 figures, submitted to MNRAS",,"10.1046/j.1365-8711.1998.01453.x","CITA 97-37","astro-ph",,"  We determine the response of a self-similar isothermal stellar system to
small adiabatic gravitational perturbations. For odd spherical harmonics, the
response is identical to the response of the analogous isothermal fluid system.
For even spherical harmonics, the response can be regarded as an infinite
series of wavetrains in $\log r$, implying alternating compression and
rarefaction in equal logarithmic radius intervals. Partly because of the
oscillatory nature of the solutions, tidal fields from external sources are not
strongly amplified by an intervening isothermal stellar system, except at radii
$\lta 10^{-3.5}$ times the satellite radius; at some radii the stellar system
can even screen the external tidal field in a manner analogous to Debye
screening. As Weinberg has pointed out, individual resonances in a stellar
system can strongly amplify external tidal fields over a limited radial range,
but we cannot address this possibility because we examine only adiabatic
perturbations. We also discuss the application of our method to the halo
response caused by the slow growth of an embedded thin disk.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 15:13:37 GMT""}]","2009-10-30"
"astro-ph/9709131","Ruediger Riediger","R. Riediger, P. Petitjean, J.P. Muecket","Evolution of the Lyman-alpha forest from high to low redshift","LaTeX file, 9 pages, 8 encapsulated and 6 plain PostScript figures.
  Accepted by A&A","Astron.Astrophys. 329, 30-38 (1998)",,,"astro-ph",,"  We study the evolution with redshift, from z=5 to z=0, of the Lyman-alpha
forest in a CDM model using numerical simulations including collisionless
particles only. The baryonic component is assumed to follow the dark matter
distribution. We distinguish between two populations of particles: Population
P{s} traces the filamentary structures of the dark matter, evolves slowly with
redshift and, for N(HI)>10^14 cm^-2, dominates the number density of lines at
z<3; most of population P{u} is located in underdense regions and for the same
column densities, disappears rapidly at high redshift. We generate synthetic
spectra from the simulation and show that the redshift evolution of the
Lyman-alpha forest (decrement, N(HI) distribution) is well reproduced over the
whole redshift range for Omega_b*h^2=0.0125 and J_-21=0.1 at z=3 where J_-21 is
the UV background flux intensity in units of 10^-21 erg cm^-2 s^-1 Hz^-1 sr^-1.
The total number of lines with N(HI)>10^12 cm^-2 remains approximately constant
from z=4 to z=1. At z=0, the number density of lines per unit redshift with log
N(HI)>12, 13, 14 is of the order of 400, 100, and 20 respectively. Therefore,
at low redshift, if most of the strong (w_r>0.3 \AA) lines are expected to be
associated with galaxies, the bulk of the Lyman-alpha forest however should
have lower equivalent width and should not be tightly correlated with galaxies.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 15:48:02 GMT""}]","2007-05-23"
"hep-ex/9709013",,"E791 Collaboration, E.M. Aitala et al","Search for the pentaquark via the P^0_{{c bar}s} --> phi,pi,p decay","9 pages postscript file, 11 pages Latex file, one Figure. Submitted
  to Physical Review Letters","Phys.Rev.Lett.81:44-48,1998","10.1103/PhysRevLett.81.44","FERMILAB-Pub-97/118-E","hep-ex",,"  We report results of the first search for the pentaquark P_{{c bar}s} which
is predicted to be a doublet of states: P^0_{{c bar}s}=({c bar} s u u d) and
P^-_{{c bar}s}=({c bar} s d d u). A search was made for the decay P^0_{{c
bar}s} --> phi,pi,p in data from Fermilab experiment E791, in which 500 GeV/c
pi^- beam interacted with nuclear targets. We present upper limits at 90%
confidence level for the ratio of cross section times branching fraction of
this decay to that for the decay D_s --> phi,pi. The upper limits are 0.031 and
0.063 for M(P^0_{{c bar}s}) = 2.75 and 2.86 GeV/c^2, respectively, assuming a
P^0_{{c bar}s} lifetime of 0.4 ps.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 10:46:47 GMT""}]","2008-11-26"
"hep-ph/9709333",,"B. Blok, M. Shifman, and Da-Xin Zhang","An Illustrative Example of How Quark-Hadron Duality Might Work","LATEX, epsfig.sty, 22 pages, 6 figures","Phys.Rev.D57:2691-2700,1998; Erratum-ibid.D59:019901,1999","10.1103/PhysRevD.57.2691 10.1103/PhysRevD.59.019901","TPI-MINN-13/97-T, UMN-TH-1542/97","hep-ph",,"  We discuss the issue of the local quark-hadron duality at high energies in
two- and four-dimensional QCD. A mechanism of the dynamical realization of the
quark-hadron duality in two- dimensional QCD in the limit of large number of
colors, N_c -> \infty, (the 't Hooft model) is considered. A similar mechanism
of dynamical smearing may be relevant in four-dimensional QCD. Although
particular details of our results are model-dependent, the general features of
the duality implementation conjectured previously get further support.
","[{""version"":""v1"",""created"":""Sat, 13 Sep 1997 16:50:23 GMT""}]","2014-11-17"
"hep-ph/9709337","Dr. Jong Bok Kim","Jong Bock Kim, Joon Ha Kim and Hyun Kyu Lee","Primordial Abundances of ^6Li, ^9Be, and ^11B with Neutrino Degeneracy
  and Gravitational Constant Variation","8 pages for text(RevTex) and 4 figures(ps files)","Phys.Rev. D58 (1998) 027301","10.1103/PhysRevD.58.027301",,"hep-ph",,"  Recent measurements of deuterium abundances from QSO absorption spectra show
two conflicting numbers, which differ by an order of magnitude. Allowing the
neutrino degeneracy together with gravitational constant variation at the epoch
of primordial nucleosynthesis, the implication of these observations on the
^6Li, ^9Be and ^11B abundances will be discussed. Within the permitted ranges
consistent with D, ^4He and ^7Li, we observe the strong \eta dependence of ^11B
as in SBBN but no significant dependence of ^6Li and ^9Be on the baryon number
density is observed. The predictions of ^6Li and ^9Be for low and high
deuterium differ by an order of magnitude and predictions for ^11B differ by
several orders of magnitude at most and vary with \eta.
","[{""version"":""v1"",""created"":""Sat, 13 Sep 1997 18:45:11 GMT""}]","2009-10-30"
"hep-ph/9709338","Vyacheslav Yukalov","V. I. Yukalov and E. P. Yukalova","Thermodynamics of Strong Interactions","1 file, 54 pages, LaTex, no figures","Phys.Part.Nucl.28:37-65, 1997","10.1134/1.953031",,"hep-ph",,"  The state of art in studying thermodynamic properties of hot and dense
nuclear matter is reviewed with the special emphasis on the
confinement-deconfinement transition between hadron matter and quark-gluon
plasma. The most popular models used for describing deconfinement are analysed,
including statistical bootstrap models, pure phase models, the model of
clustered quarks, and the string-flip potential model. Predictions of these
models are compared with the lattice numerical simulations. It is concluded
that precursor fluctuation effects must be taken into account in order to get a
realistic description of deconfinement transition. Deconfinement cannot be
considered as a transition between pure hadron and quark-gluon phases.
Quark-gluon plasma and hadron clusters are different quantum states of the same
system, so that any statistical model pretending to treat nuclear matter under
extreme conditions must incorporate the probability of these different
channels.
","[{""version"":""v1"",""created"":""Sat, 13 Sep 1997 19:21:47 GMT""}]","2011-07-19"
"hep-ph/9709339",,"Valery P. Gusynin","Magnetic Catalysis of Chiral Symmetry Breaking in QED at Finite
  Temperature","12 pages, Latex file. Talk given at the ""APCTP-ICTP Joint
  International Conference on Recent Developments in Non-perturbative Methods""
  held on May 26-30, 1997 at Seoul, Korea",,,,"hep-ph",,"  The catalysis of chiral symmetry breaking by a magnetic field in the massless
weak-coupling phase of QED is studied. The dynamical mass of a fermion (energy
gap in the fermion spectrum) is shown to depend essentially nonanalytically on
the renormalized coupling constant $\alpha$ in a strong magnetic field. The
temperature of the symmetry restoration is calculated analytically as
$T_c\approx m_{dyn}$, where $m_{dyn}$ is the dynamical mass of a fermion at
zero temperature.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 13:10:06 GMT""}]","2007-05-23"
"hep-th/9709093","Zurab Kakushadze","Gia Dvali and Zurab Kakushadze","A Remark on Dilaton Stabilization","5 pages, Revtex 3.0","Phys.Lett. B417 (1998) 50-52","10.1016/S0370-2693(97)01355-5","CERN-TH/97-170, HUTP-97/A036, NUB 3164","hep-th hep-ph",,"  Dilaton stabilization may occur in a theory based on a single asymptotically
free gauge group with matter due to an interplay between quantum modification
of the moduli space and tree-level superpotential. We present a toy model where
such a mechanism is realized. Dilaton stabilization in this mechanism tends to
occur at strong coupling values unless some unnatural adjustment of parameters
is involved.
","[{""version"":""v1"",""created"":""Sun, 14 Sep 1997 03:19:45 GMT""}]","2009-10-30"
