"alg-geom/9703024","Ludwig Balke","Ludwig Balke","A note on P-resolutions of cyclic quotient singularities","8 pages, 4 Postscript figures",,,,"alg-geom math.AG",,"  P-resolutions of a cyclic quotient singularity are known to be in one-to-one
correspondence with the components of the base space of its semi-universal
deformation. Stevens and Christophersen have shown that P-resolutions are
parametrized by so-called chains representing zero or, equivalently, certain
subdivisions of polygons. I give here a purely combinatorial proof of the
correspondence between subdivisions of polygons and P-resolutions.
","[{""version"":""v1"",""created"":""Wed, 19 Mar 1997 21:48:29 GMT""}]","2008-02-03"
"alg-geom/9703025","Mina Teicher","Mina Teicher","On the quotient of the braid group by commutators of transversal
  half-twists and its group actions","AMS-Tex, 42 pages, figures by request",,,,"alg-geom math.AG",,"  The group described in this paper appeared while studying fundamental groups
of complements of branch curves. It turned out that a certain quotient of the
braid group acts on those fundamental groups and studying this action is
essential for understanding the structure of the fundamental groups. We
describe here the quotient of the Artin braid group by commutators of
transversal half-twists and we investigates its group actions. We denote the
quotient by B_n~ and refer to the groups which admit an action of B_n~ , as
B_n~-groups.
  We distinguish special elements in B_n~-groups which we call prime elements
and we give a criterion for an element to be prime. This criterion will be
applied to the study of the structure of fundamental groups of complements of
branch curves. The group B_n~ itself turns out to be an extension of a solvable
group by a symmetric group.
","[{""version"":""v1"",""created"":""Thu, 20 Mar 1997 12:31:45 GMT""}]","2016-08-30"
"astro-ph/9703122","R. Capuzzo-Dolcetta","R. Capuzzo-Dolcetta (1), P. Miocchi (2) ((1) Inst. of Astronomy,
  University of Roma La Sapienza, (2) Dept. of Physics, University of Roma La
  Sapienza)","A comparison between Fast Multipole Algorithm and Tree-Code to evaluate
  gravitational forces in 3-D","24 pages, 3 eps figures, aaspp4.sty and epsf.sty included; submitted
  to Journ. Comp. Phys","J.Comput.Phys. 143 (1998) 29","10.1006/jcph.1998.5949",,"astro-ph",,"  We present tests of comparison between our versions of the Fast Multipole
Algorithm (FMA) and ``classic'' tree-code to evaluate gravitational forces in
particle systems. We have optimized the Greengard's original version of FMA
allowing for a more efficient criterion of well-separation between boxes, to
improve the adaptivity of the method (which is very important in highly
inhomogeneous situations) and to permit the smoothing of gravitational
interactions. The results of our tests indicate that the tree-code is almost
three times faster than FMA for both a homogeneous and a clumped distribution,
at least in the interval of N (N< 10^5) here investigated and at the same level
of accuracy (error ~ 10^{-3)). This order of accuracy is generally considered
as the best compromise between CPU-time consumption and precision for
astrophysical simulation. Moreover, the claimed linear dependence on N of the
CPU-time of FMA is not confirmed and we give a ``theoretical'' explanation for
that.
","[{""version"":""v1"",""created"":""Wed, 19 Mar 1997 18:13:38 GMT""}]","2016-08-30"
"astro-ph/9703123","Steven T. Myers","S. T. Myers, J. E. Baker, A. C. S. Readhead, E. M. Leitch, and T.
  Herbig","Measurements of the Sunyaev-Zeldovich Effect in the Nearby Clusters
  A478, A2142 and A2256","54 pages, 4 postscript figures, uses aaspp4.sty. To appear in the
  Astrophysical Journal, also available at
  ftp://dept.physics.upenn.edu/pub/myers/szepaper.ps.gz",,"10.1086/304389",,"astro-ph",,"  This paper reports the measurement of the Sunyaev-Zeldovich effect (SZE) in
the nearby clusters A478, A2142 and A2256 at 32 GHz. These clusters are part of
a complete X-ray flux limited sample, which includes the previously measured
Coma cluster. We find surface baryonic mass densities for the hot IGM within
the 7.35' FWHM Gaussian beam of the OVRO 5.5-m telescope projected on the
cluster centers. This is used to place lower limits on the ratio of the SZE
determined baryonic mass to the gravitational binding mass. When combined with
available X-ray models, the data from these three clusters and Coma yields a
sample average value for the Hubble constant of 54 +/- 14 km/s/Mpc.
","[{""version"":""v1"",""created"":""Wed, 19 Mar 1997 20:48:26 GMT""}]","2009-10-30"
"astro-ph/9703124","Krzysztof Stanek","J. Kaluzny (Warsaw), K. Z. Stanek, M. Krockenberger, D. D. Sasselov
  (CfA), J. L. Tonry (Hawaii), M. Mateo (Michigan)","DIRECT Distances to Nearby Galaxies Using Detached Eclipsing Binaries
  and Cepheids. I. Variables in the Field M31B","revised version re-submitted to the Astronomical Journal, 42 pages,
  27 figures; paper and data available at
  ftp://cfa0.harvard.edu/pub/kstanek/DIRECT/papers/M31B/ and through WWW at
  http://cfa-www.harvard.edu/~kstanek/DIRECT/",,"10.1086/300235",,"astro-ph",,"  We undertook a long term project, DIRECT, to obtain the direct distances to
two important galaxies in the cosmological distance ladder -- M31 and M33,
using detached eclipsing binaries (DEBs) and Cepheids. While rare and difficult
to detect, detached eclipsing binaries provide us with the potential to
determine these distances with an accuracy better than 5%. The massive
photometry obtained in order to detect DEBs provides us with good light curves
for the Cepheid variables. These are essential to the parallel project to
derive direct Baade-Wesselink distances to Cepheids in M31 and M33. For both
Cepheids and eclipsing binaries the distance estimates will be free of any
intermediate steps.
  As a first step of the DIRECT project, between September 1996 and January
1997 we have obtained 36 full nights on the Michigan-Dartmouth-MIT (MDM)
1.3-meter telescope and 45 full/partial nights on the F. L. Whipple Observatory
(FLWO) 1.2-meter telescope to search for detached eclipsing binaries and new
Cepheids in the M31 and the M33 galaxies. In this paper, first in the series,
we present the catalog of variable stars, most of them newly detected, found in
the field M31B ($\alpha_{2000.0},\delta_{2000}=11.20\deg,41.59\deg$). We have
found 85 variable stars: 12 eclipsing binaries, 38 Cepheids and 35 other
periodic, possible long period or non-periodic variables. The catalog of
variables, as well as their photometry and finding charts, are available using
the anonymous ftp service and the WWW.
","[{""version"":""v1"",""created"":""Wed, 19 Mar 1997 23:38:54 GMT""},{""version"":""v2"",""created"":""Tue, 14 Oct 1997 04:13:54 GMT""}]","2015-06-24"
"astro-ph/9703125","James W. Wadsley","J. Richard Bond, James W. Wadsley (CITA)","The Lyman Alpha Forest within The Cosmic Web","8 pages, 3 Postscript figures (included) to appear in ""Computational
  Astrophysics"", Proc. 12th Kingston Conference, Halifax, Oct. 1996, ed. D.
  Clarke & M. West (PASP)",,,,"astro-ph",,"  Observations indicate galaxies are distributed in a filament-dominated
web-like structure; classic examples are the Coma and Perseus-Pisces
superclusters. Numerical experiments at high and low redshift of viable
structure formation theories also show filament-dominance; in particular, the
gasdynamical simulations of Lyman alpha clouds at redshifts 2-6 that we
concentrate on here. We understand why this is so in terms of rare events (peak
patches) in the medium and the web pattern of filaments that bridge the gaps
between the peaks along directions defined by their (oriented) tidal fields. We
present an overview of these ideas and their practical application in crafting
high resolution well-designed simulations. We show the utility of this by
taking a highly filamentary subvolume found in a galactic-scale simulation,
compressing its important large scale features onto a handful of numbers
defining galactic-scale peak-patch constraints, which are then used to
construct constrained initial conditions for a higher resolution simulation
appropriate for study of the Lyman alpha forest.
","[{""version"":""v1"",""created"":""Thu, 20 Mar 1997 04:42:01 GMT""}]","2007-05-23"
"astro-ph/9703126","Biman B. Nath","Shiv K. Sethi and Biman B. Nath","On The Source of Ionization of The Intergalactic Medium at $z \sim 2.4$","Latex file (uses aasms) and 7 postscript files. Accepted for
  publication in MNRAS",,"10.1093/mnras/289.3.634","IUCAA-24/97","astro-ph",,"  We use the recent detection of He II absorption at $z=2.2-2.6$ in the line of
sight of the quasar HS1700+64 to put bounds on the sources of ionization. We
find that given the uncertainty in $\tauhgp$ and the model of absorption in the
intergalactic medium (IGM), a wide range of possible sources of ionization is
still allowed by the observations. We show that a significant contribution from
star forming galaxies is allowed and is consistent with the proximity effect.
In the case of photoionization by the UV background radiation, the contribution
of star forming galaxies to the intensity at $912 > {\AA}$ can be within a
range of $\sim 1 - 15$ times that of the quasars. We also investigate the case
of a collisionally ionized intergalactic medium. We show that although
collisional ionization can be a dominant source of ionization at $z \sim 2.4$
(taking into account the upper limit on Compton y-parameter of the microwave
background radiation), the thermal state of the IGM cannot yet be determined.
We also consider Sciama's model of radiatively decaying neutrinos and show that
the model of decaying neutrino is consistent with the observations.
","[{""version"":""v1"",""created"":""Thu, 20 Mar 1997 07:40:20 GMT""}]","2015-06-24"
"astro-ph/9703127","Sylvain Chaty","S. Chaty, I.F. Mirabel, (Service d'Astrophysique, CE Saclay, France)","Infrared Jet of the Galactic Superluminal Source GRS 1915+105","4 pages, Latex, 2 Postscript figures. To appear in the XXXIInd
  Rencontres de Moriond Proceedings, ``Very High Energy Phenomena in the
  Universe'', Les Arcs, France, January 18-25, 1997, in press",,,,"astro-ph",,"  A near-infrared jet emanating from the galactic superluminal source GRS
1915+105, discovered at $\lambda$ = 2.2 micrometer by Sams et al. (1996) on
18-21 July 1995, was not seen later anymore, neither in the Mirabel et al.
(1996) images, taken on 4 August 1995 and that we analyze here, nor by
Eikenberry & Fazio (1997) on 16-17 October 1995. Therefore, the radiative
lifetime of the electrons which have created this emission is $\tau$ < 17 days.
The detection, and the later non-detection, of this infrared jet is consistent
with a synchrotron emission, provided that the magnetic field in the ejected
clouds is B > 160 mG, and that the Lorentz factor of the internal motions of
the electrons in the jet is $\gamma < 10^{4}$. The lower limit for the magnetic
field suggests a magneto-hydrodynamic mechanism for the acceleration and
collimation of the ejecta.
","[{""version"":""v1"",""created"":""Thu, 20 Mar 1997 14:59:36 GMT""}]","2007-05-23"
"astro-ph/9703128","Peter R. McCullough","Peter R. McCullough","A Correlation between Balmer H-alpha Emission and Infrared Cirrus","14 pages, Latex, mpeg of blinking images available at
  http://www.astro.uiuc.edu/~pmcc/papers/",,"10.1086/118428",,"astro-ph",,"  A 13x13 degree image of Balmer H-alpha emission at galactic latitude -65
degrees is presented. Sensitivity is limited in part by confusion: the
peak-to-valley anisotropy of the H-alpha surface brightness is 0.2 Rayleighs on
angular scales of 0.1 to 1.0 degrees. The morphology of the H-alpha emission is
similar to that of the 100 um emission previously observed by the Infrared
Astronomical Satellite (IRAS). A point-by-point comparison of the two shows a
marginally detected (3-sigma) positive correlation, rho = +0.14 (+-0.04). The
slope of the correlated components of the 100 um and H-alpha emissions is 1.26
(+0.45) (-0.32) MJy/sr/R. Using parameters from the literature, we predict that
emission from dust and ionized gas at high latitudes produces 3 times more
H-alpha emission per unit 100 um emission than does backscattering of H-alpha
emission from Galactic H II regions by dust at high latitude. Observations of
this type may allow us to distinguish between Galactic foreground and cosmic
background for both the free-free emission and the thermal dust emission
associated with the warm ionized medium of the Milky Way.
","[{""version"":""v1"",""created"":""Thu, 20 Mar 1997 15:18:39 GMT""}]","2009-10-30"
"astro-ph/9703129","Martin Hardcastle","M.J. Hardcastle, P. Alexander, G.G. Pooley, J.M. Riley","The jets in 3C 296","9 pages, 6 figures, LaTeX 2.09. To appear in MNRAS","MNRAS 288 L1","10.1093/mnras/288.1.L1",,"astro-ph",,"  We present observations made with the VLA at 1.5 and 8.4 GHz of the nearby
FRI radio galaxy 3C296. The most recent models of FRI radio galaxies suggest
that substantial deceleration must take place in their jets, with strongly
relativistic velocities on parsec scales giving place to at most mildly
relativistic velocities on scales of tens of kiloparsecs. The region over which
this deceleration takes place is therefore of considerable interest. By
considering the side-to-side asymmetries of the jets of 3C296, we constrain the
region of strong deceleration in the source. Our observations show evidence
that the jets have slow edges surrounding faster central spines. We discuss the
implications of our observations for models of the magnetic field structure in
these objects.
","[{""version"":""v1"",""created"":""Thu, 20 Mar 1997 15:34:29 GMT""}]","2016-01-13"
